formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
GML 3.2 sf2,DATA,application/gml+xml;type=http://www.opengis.net/def/profile/ogc/2.0/gml-sf2,application/gml+xml;version=3.2;profile=http://www.opengis.net/def/profile/ogc/2.0/gml-sf2,FALSE,application/gml+xml,,http://www.opengis.net/spec/ogcapi-edr-1/1.0,,GML 3.2 feature collections and features conforming to the GML Simple Feature Level 2 profile,,,,
Google Earth Keyhole Markup Language (KML),DATA,application/vnd.google-earth.kml+xml,application/vnd.google-earth.kml+xml,TRUE,application/xml,kml,DataOne; IANA,,,application/vnd.google-earth.kml+xml,application/vnd.google-earth.kml+xml,DATA,
Google Earth Keyhole Markup Language (KML) Compressed archive,DATA,application/vnd.google-earth.kmz,application/vnd.google-earth.kmz,TRUE,application/zip,kmz,DataOne,,,,application/vnd.google-earth.kmz,DATA,
Graphics Interchange Format,DATA,image/gif,image/gif,TRUE,image/gif,gif,DataOne; IANA,,,image/gif,image/gif,DATA,
GSE2,DATA,,,TRUE,,,ECRR,,,,,DATA,
GTOPO30 DEM data foramt,DATA,application/octet-stream;type=GTOPO30,application/octet-stream;type=GTOPO30,TRUE,application/octet-stream,,ECRR,GTOPO;  USGS GTOPO," digital elevation model, http://edc.usgs.gov/products/elevation/gtopo30/gtopo30.html",application/octet-stream;type=GTOPO30,,DATA,
GZIP Format,Wrapper,application/gzip,application/x-gzip,FALSE,application/x-gzip,gz,DataOne; https://datatracker.ietf.org/doc/html/rfc6713,application/x-gzip,,,application/x-gzip,Wrapper,
HDF-EOS,DATA,application/x-hdf;type=hdf-eos,application/x-hdf;type=hdf-eos,TRUE,application/x-hdf,,ECRR,,this is an HDF profile,application/x-hdf;type=hdf-eos,,,
Hierarchical Data Format version 4 (HDF4),DATA,application/x-hdf,application/x-hdf,TRUE,application/x-hdf,h4,DataOne; ECRR,HDF ; HDF4,"HDF4: Hierarchical Data Format, version 4, http://www.hdfgroup.org/products/hdf4/",,application/x-hdf,DATA,
Hierarchical Data Format version 5 (HDF5),DATA,application/x-hdf5,application/x-hdf5,TRUE,application/x-hdf5,h5,DataOne; ECRR,HDF5,"HDF5: Hierarchical Data Format, version 5, http://www.hdfgroup.org/HDF5/",application/x-hdf5,application/x-hdf5,DATA,
Hypertext Markup Language,DATA,text/html,text/html,TRUE,text/html,html,DataOne,,,,text/html,DATA,
IASPEI Seismic Format (ISF),DATA,application/octet-stream;type=IASPEI-seismic,application/octet-stream;type=IASPEI-seismic,TRUE,application/octet-stream,,ECRR,,,application/octet-stream;type=IASPEI-seismic,,DATA,
Image JPEG,DATA,image/jpeg,image/jpeg,TRUE,image/jpeg,jpg,DataOne; IANA,,,image/jpeg,image/jpeg,DATA,
JavaScript Object Notation (JSON) file,DATA,application/json,application/json,TRUE,application/json,json,DataOne; http://www.opengis.net/spec/ogcapi-edr-1/1.0,,"OGC--resource representations, as well as coverage content encoded according to the Coverage Implementation Schema (CIS).",,application/json,DATA,
JavaScript Object Notation (JSON) Lines CSV file format,DATA,text/plain;type=JSONlines,text/plain;type=JSONlines,TRUE,text/plain,,ECRR,,,text/plain;type=JSONlines,,DATA,http://n2t.net/ark:/23942/g2705064
